Nama,Singkatan,Jenis,Status,Kabupaten,Provinsi,Akreditasi,Jumlah Prodi,Persentase Kelulusan,Rentang Biaya / Semester
Akademi Keperawatan Kabupaten Wajo Sulawesi Selatan,Akper Kabupaten Wajo,Swasta,Tutup,Kab. Wajo,Prov. Sulawesi Selatan,Tidak Terakreditasi,1,,
Akademi Keperawatan Panca Bhakti,Akper Panca Bhakti,Swasta,Merger,Kota Bandar Lampung,Prov. Lampung,Tidak Terakreditasi,1,,
STKIP Muhammadiyah Muara Bungo,STKIP Muhammadiyah Muara Bungo,Swasta,Alih Bentuk,Kab. Bungo,Prov. Jambi,Tidak Terakreditasi,5,,
Sekolah Tinggi Ilmu Ekonomi Lamappapoleonro Soppeng,STIE Lamappapoleonro Soppeng,Swasta,Alih Bentuk,Kab. Soppeng,Prov. Sulawesi Selatan,Tidak Terakreditasi,2,,
Akademi Sekretari & Manajemen Widya Dharma,ASMWD,Swasta,Alih Bentuk,Kota Pontianak,Prov. Kalimantan Barat,Tidak Terakreditasi,1,67.30 %,
STIA Bina Nusantara Mandiri Pariaman,STIA Bina Nusantara Mandiri,Swasta,Aktif,Kota Pariaman,Prov. Sumatera Barat,Terakreditasi,2,,Rp400.000 - 4.000.000
Sekolah Tinggi Ilmu Ekonomi Lhokseumawe,STIE Lhokseumawe,Swasta,Alih Bentuk,Kota Lhokseumawe,Prov. Aceh,Tidak Terakreditasi,3,44.96 %,Rp3.000.000 - 3.000.000
Universitas Krisnadwipayana,UK,Swasta,Aktif,Kota Jakarta Timur,Prov. D.K.I. Jakarta,B,19,32.22 %,Rp500.000 - 40.000.000
Akademi Kebidanan Sandi Karsa,Akbid Sandi Karsa,Swasta,Alih Bentuk,Kota Makassar,Prov. Sulawesi Selatan,Tidak Terakreditasi,1,,
Politeknik Harapan Bersama,PHB,Swasta,Alih Bentuk,Kota Tegal,Prov. Jawa Tengah,B,14,25.00 %,Rp500.000 - 10.950.000
Akademi Teknologi Grafika Trisakti,ATGT,Swasta,Alih Bentuk,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Tidak Terakreditasi,2,59.42 %,
Institut Keguruan Dan Ilmu Pendidikan Mataram,IKIPM,Swasta,Alih Bentuk,Kota Mataram,Prov. Nusa Tenggara Barat,Tidak Terakreditasi,20,,
Akademi Kebidanan Mitra Persahabatan,Akbid Mitra Persahabatan,Swasta,Aktif,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Tidak Terakreditasi,1,78.40 %,
Universitas Bina Nusantara,Binus,Swasta,Aktif,Kota Jakarta Barat,Prov. D.K.I. Jakarta,Unggul,68,52.52 %,Rp1 - 95.259.500
STKIP Situs Banten di Serang,STKIP Situs Banten di,Swasta,Alih Bentuk,Kota Serang,Prov. Banten,Baik,3,52.52 %,Rp2.100.000 - 2.100.000
Akademi Bahasa Asing Nasional Jakarta,ABANJ,Swasta,Alih Bentuk,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Tidak Terakreditasi,2,46.79 %,
Sekolah Tinggi Ilmu Perikanan Kalinyamat,STIPK,Swasta,Tutup,Kab. Jepara,Prov. Jawa Tengah,Tidak Terakreditasi,2,32.00 %,
Universitas Mandiri Bina Prestasi,UMBP,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Terakreditasi,7,20.22 %,Rp2.400.000 - 4.000.000
Universitas Nani Bili Nusantara,UNBN,Swasta,Aktif,Kota Sorong,Prov. Papua Barat,Tidak Terakreditasi,12,,Rp2.000.000 - 2.000.000
STIMIK Kupang,STIMIK Kupang,Swasta,Aktif,Kota Kupang,Prov. Nusa Tenggara Timur,Baik,2,,
Sekolah Tinggi Ilmu Ekonomi Musi,STIE Musi,Swasta,Alih Bentuk,Kota Palembang,Prov. Sumatera Selatan,Tidak Terakreditasi,2,,
Akademi Kebidanan Andi Makkasau,Akbid Andi Makkasau,Swasta,Alih Bentuk,Kota Pare-Pare,Prov. Sulawesi Selatan,Tidak Terakreditasi,1,6.69 %,Rp4.000.000 - 4.000.000
AMIK Tunas Bangsa,AMIK Tunas Bangsa,Swasta,Alih Bentuk,Kota Pematang Siantar,Prov. Sumatera Utara,Tidak Terakreditasi,2,72.48 %,
STMIK Catur Sakti Kendari,STMIK Catur Sakti Kendari,Swasta,Aktif,Kota Kendari,Prov. Sulawesi Tenggara,Baik,5,,Rp2.150.000 - 2.150.000
STKIP Labuhan Batu,STKIP Labuhan Batu,Swasta,Alih Bentuk,Kab. Labuhan Batu,Prov. Sumatera Utara,Tidak Terakreditasi,5,30.40 %,
Sekolah Tinggi Perikanan Dan Kelautan Palu,STPKP,Swasta,Aktif,Kota Palu,Prov. Sulawesi Tengah,Baik,4,66.37 %,Rp1.100.000 - 1.200.000
STMIK Prabumulih,STMIK Prabumulih,Swasta,Alih Bentuk,Kota Prabumulih,Prov. Sumatera Selatan,Tidak Terakreditasi,2,78.38 %,
Akademi Kebidanan Singkawang,Akbid Singkawang,Swasta,Aktif,Kota Singkawang,Prov. Kalimantan Barat,Baik,1,73.74 %,Rp6.200.000 - 6.200.000
STKIP Dharmasraya,STKIP Dharmasraya,Swasta,Alih Bentuk,Kab. Dharmas Raya,Prov. Sumatera Barat,Tidak Terakreditasi,4,,
Sekolah Tinggi Teknik Pelita Bangsa,STTPB,Swasta,Tutup,Kota Binjai,Prov. Sumatera Utara,Tidak Terakreditasi,2,77.14 %,
Universitas Al-Khairiyah,UAK,Swasta,Aktif,Kota Cilegon,Prov. Banten,Baik,10,,Rp535.000 - 4.700.000
Sekolah Tinggi Ilmu Administrasi Saumlaki,STIA Saumlaki,Swasta,Alih Bentuk,Kab. Maluku Tenggara Barat,Prov. Maluku,Tidak Terakreditasi,2,,
Universitas Kristen Satya Wacana,UKSW,Swasta,Aktif,Kota Salatiga,Prov. Jawa Tengah,Unggul,86,57.09 %,Rp1 - 276.850.000
Sekolah Tinggi Ilmu Ekonomi Ichsan Sidenreng Rappang,STIE Ichsan Sidenreng Rappang,Swasta,Alih Bentuk,Kab. Sidenreng Rappang,Prov. Sulawesi Selatan,Tidak Terakreditasi,2,,
AKMI Guna Nusantara,AKMI Guna Nusantara,Swasta,Alih Bentuk,Kota Cilegon,Prov. Banten,Tidak Terakreditasi,1,,
Akademi Perdagangan Bandung,APB,Swasta,Aktif,Kota Bekasi,Prov. Jawa Barat,Tidak Terakreditasi,2,,
Politeknik Ibnu Khaldun,PIK,Swasta,Alih Bentuk,Kab. Cirebon,Prov. Jawa Barat,Tidak Terakreditasi,3,51.34 %,
Sekolah Tinggi Ilmu Ekonomi IGI,STIE IGI,Swasta,Aktif,Kota Jakarta Barat,Prov. D.K.I. Jakarta,Baik,3,,Rp250.000 - 4.200.000
Politeknik Mitra Karya Mandiri,PMKM,Swasta,Aktif,Kab. Brebes,Prov. Jawa Tengah,Terakreditasi,3,51.94 %,Rp2.400.000 - 6.500.000
Sekolah Tinggi Ilmu Bisnis Kumala Nusa,STIBKN,Swasta,Aktif,Kota Yogyakarta,Prov. D.I. Yogyakarta,Baik,2,76.20 %,Rp3.670.000 - 3.670.000
Universitas Linggabuana PGRI Sukabumi,ULPS,Swasta,Aktif,Kota Sukabumi,Prov. Jawa Barat,Baik,8,,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan An-nur Nanggroe Aceh Darussalam,STKIP An-nur Nanggroe Aceh Darussalam,Swasta,Aktif,Kota Banda Aceh,Prov. Aceh,Baik,2,47.85 %,Rp750.000 - 2.400.000
Sekolah Tinggi Ilmu Ekonomi YKPN,STIE YKPN,Swasta,Aktif,Kab. Sleman,Prov. D.I. Yogyakarta,Unggul,8,60.44 %,Rp3.360.000 - 9.500.000
Politeknik Jatiluhur,PJ,Swasta,Aktif,Kab. Purwakarta,Prov. Jawa Barat,Baik,6,64.72 %,
Institut Teknologi dan Bisnis Kristen Bukit Pengharapan,ITBKBP,Swasta,Aktif,Kab. Karanganyar,Prov. Jawa Tengah,Baik,3,74.15 %,Rp2.500.000 - 5.000.000
Institut IPMI,II,Swasta,Aktif,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik Sekali,4,45.91 %,Rp2.500.000 - 62.500.000
Politeknik Batam,PB,Swasta,Alih Bentuk,Tidak Diisi,Prov. Kepulauan Riau,Tidak Terakreditasi,3,47.02 %,
STIKES Syuhada di Padangsidimpuan,STIKES Syuhada di Padangsidimpuan,Swasta,Alih Bentuk,Kota Padang Sidempuan,Prov. Sumatera Utara,Tidak Terakreditasi,2,70.42 %,
Universitas Sains Teknologi Ekonomi Digital Indonesia,USTEDI,Swasta,Aktif,Kota Semarang,Prov. Jawa Tengah,Baik Sekali,6,39.58 %,
Akademi Kebidanan Soko Tunggal,Akbid Soko Tunggal,Swasta,Tutup,Kab. Semarang,Prov. Jawa Tengah,Tidak Terakreditasi,1,80.81 %,
Sekolah Tinggi Ilmu Administrasi Maulana Yusuf Banten,STIA Maulana Yusuf,Swasta,Aktif,Kab. Serang,Prov. Banten,Baik,1,24.63 %,Rp600.000 - 600.000
Akademi Keperawatan Fatima Mamuju,Akper Fatima Mamuju,Swasta,Alih Bentuk,Kab. Mamuju,Prov. Sulawesi Barat,Tidak Terakreditasi,1,54.31 %,
STISIP Panca Bhakti Palu,STISIP Panca Bhakti Palu,Swasta,Alih Bentuk,Kota Palu,Prov. Sulawesi Tengah,Tidak Terakreditasi,2,,
Sekolah Tinggi Ilmu Ekonomi AKA,STIE AKA,Swasta,Alih Bentuk,Kota Semarang,Prov. Jawa Tengah,Tidak Terakreditasi,5,21.58 %,
Universitas Perwira Purbalingga,UPP,Swasta,Aktif,Kab. Purbalingga,Prov. Jawa Tengah,Baik,5,23.74 %,Rp2.400.000 - 2.400.000
Sekolah Tinggi Ilmu Ekonomi Indonesia Pontianak,STIE Indonesia Pontianak,Swasta,Aktif,Kota Pontianak,Prov. Kalimantan Barat,Tidak Terakreditasi,2,74.46 %,Rp4.000.000 - 4.000.000
STIKES Putra Abadi Langkat,STIKES Putra Abadi Langkat,Swasta,Alih Bentuk,Kab. Langkat,Prov. Sumatera Utara,Baik,4,78.30 %,
Akademi Manajemen Informatika Dan Komputer Serang,AMIKS,Swasta,Aktif,Kota Serang,Prov. Banten,Baik,2,60.23 %,Rp24 - 2.400.000
STMIK Kharisma Karawang,STMIK Kharisma Karawang,Swasta,Alih Bentuk,Kab. Karawang,Prov. Jawa Barat,Tidak Terakreditasi,5,46.74 %,
Universitas Patompo,UP,Swasta,Aktif,Kota Makassar,Prov. Sulawesi Selatan,Baik,11,37.47 %,Rp200.000 - 4.000.000
Universitas Muhammadiyah Gresik,UMG,Swasta,Aktif,Kab. Gresik,Prov. Jawa Timur,Baik Sekali,39,,Rp250.000 - 10.900.000
STKIP Nusa Bunga Floresta,STKIP Nusa Bunga Floresta,Swasta,Aktif,Kab. Nagakeo,Prov. Nusa Tenggara Timur,Tidak Terakreditasi,2,52.61 %,
Institut Kesehatan Medistra Lubuk Pakam,IKMLP,Swasta,Aktif,Kab. Deli Serdang,Prov. Sumatera Utara,Unggul,21,,Rp2.000.000 - 60.000.000
Sekolah Tinggi Ilmu Ekonomi Pelita Nusantara,STIE Pelita Nusantara,Swasta,Aktif,Kota Semarang,Prov. Jawa Tengah,B,2,53.23 %,
Politeknik Kent,PK,Swasta,Alih Bentuk,Kota Bogor,Prov. Jawa Barat,Tidak Terakreditasi,3,45.45 %,
Universitas Pesantren Tinggi Darul ulum,UPTDU,Swasta,Aktif,Kab. Jombang,Prov. Jawa Timur,Baik Sekali,19,,Rp2.525.000 - 10.000.000
Akademi Sains Dan Teknologi Pembangunan,ASTP,Swasta,Tutup,Kota Palembang,Prov. Sumatera Selatan,Tidak Terakreditasi,3,,
Sekolah Tinggi Ilmu Kesehatan Hesti Wira Sriwijaya,STIKes Hesti Wira Sriwijaya,Swasta,Aktif,Kota Palembang,Prov. Sumatera Selatan,Baik Sekali,4,41.25 %,Rp6.000.000 - 19.100.000
Sekolah Tinggi Ilmu Ekonomi Gempol,STIE Gempol,Swasta,Alih Bentuk,Kab. Pasuruan,Prov. Jawa Timur,Baik,2,77.65 %,Rp4.800.000 - 4.800.000
Sekolah Tinggi Teknologi & Desain Nahdlatul Ulama,STT Desain Nahdlatul Ulama,Swasta,Alih Bentuk,Kab. Jepara,Prov. Jawa Tengah,Tidak Terakreditasi,4,34.49 %,
Akademi Pariwisata Medan Hotel School,APMHS,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Baik,1,54.28 %,Rp400.000 - 4.000.000
Akademi Kebidanan Pelita Ibu Kendari,Akbid Pelita Ibu Kendari,Swasta,Alih Bentuk,Kota Kendari,Prov. Sulawesi Tenggara,Tidak Terakreditasi,1,87.12 %,
Universitas Setia Budi Mandiri,USBM,Swasta,Tutup,Kota Medan,Prov. Sumatera Utara,Tidak Terakreditasi,14,,
Akademi Komunitas Mapanawang Manado,Akom Mapanawang Manado,Swasta,Aktif,Kota Manado,Prov. Sulawesi Utara,Baik,2,54.51 %,
Sekolah Tinggi Ilmu Kesehatan Tujuh Belas,STIKes Tujuh Belas,Swasta,Aktif,Kab. Karanganyar,Prov. Jawa Tengah,Baik,7,,Rp1.500.000 - 8.550.000
Universitas Al Hikmah Jepara,UAHJ,Swasta,Aktif,Kab. Jepara,Prov. Jawa Tengah,Baik,6,34.88 %,Rp145.000 - 5.100.000
Sekolah Tinggi Teknologi Cahaya Surya,STT Cahaya Surya,Swasta,Alih Bentuk,Kota Kediri,Prov. Jawa Timur,Tidak Terakreditasi,2,50.03 %,Rp300.000 - 3.000.000
Sekolah Tinggi Pariwisata Riau,STP Riau,Swasta,Aktif,Kota Pekanbaru,Prov. Riau,Baik,2,60.45 %,Rp3.500.000 - 3.500.000
Universitas Darwan Ali,UDA,Swasta,Aktif,Kab. Kotawaringin Timur,Prov. Kalimantan Tengah,Tidak Terakreditasi,11,44.98 %,Rp675.000 - 14.220.000
Institut Teknologi Yogyakarta,ITY,Swasta,Aktif,Kab. Bantul,Prov. D.I. Yogyakarta,Terakreditasi,8,55.93 %,Rp100.000 - 12.500.000
Akademi Keuangan dan Bisnis Indonesia Internasional,AKBII,Swasta,Tutup,Kota Bandung,Prov. Jawa Barat,Tidak Terakreditasi,1,,
Sekolah Tinggi Ilmu Ekonomi IBBI,STIE IBBI,Swasta,Alih Bentuk,Kota Medan,Prov. Sumatera Utara,Tidak Terakreditasi,3,73.02 %,
Sekolah Tinggi Ilmu Administrasi Asy Syafi iyah,STIA Asy Syafi iyah,Swasta,Aktif,Kab. Fak-Fak,Prov. Papua Barat,Baik,2,34.48 %,
Universitas Dwijendra,UD,Swasta,Aktif,Kota Denpasar,Prov. Bali,Baik Sekali,14,59.71 %,Rp5.000 - 8.120.000
Institut Ilmu Kesehatan dan Teknologi Muhammadiyah Palembang,IIKTMP,Swasta,Alih Bentuk,Kota Palembang,Prov. Sumatera Selatan,Tidak Terakreditasi,12,,Rp1.600.000 - 71.000.007.100.000
Akademi Keperawatan Pandan Harum Banjarmasin,Akper Pandan Harum Banjarmasin,Swasta,Alih Bentuk,Kota Banjarmasin,Prov. Kalimantan Selatan,Tidak Terakreditasi,1,90.57 %,
Universitas Kristen Palangka Raya,UKPR,Swasta,Aktif,Kota Palangka Raya,Prov. Kalimantan Tengah,Terakreditasi,7,48.46 %,Rp1 - 13.350.000
Sekolah Tinggi Ilmu Kesehatan Dehasen,STIKes Dehasen,Swasta,Alih Bentuk,Kota Bengkulu,Prov. Bengkulu,Tidak Terakreditasi,4,55.65 %,
"Akademi Kebidanan Kartika Mitra Husada (Kota Medan, Sumatera Utara)",Akbid Kartika Mitra Husada,Swasta,Alih Bentuk,Kota Medan,Prov. Sumatera Utara,Tidak Terakreditasi,1,,
Sekolah Tinggi Bahasa Asing Persada Bunda,STBAPB,Swasta,Alih Bentuk,Kota Pekanbaru,Prov. Riau,Tidak Terakreditasi,2,,Rp50.000 - 5.925.000
Sekolah Tinggi Ilmu Ekonomi Mulia Pratama,STIE Mulia Pratama,Swasta,Aktif,Kota Bekasi,Prov. Jawa Barat,Baik,3,51.40 %,Rp4.870.000 - 5.170.000
Universitas Taruna Bakti,UTB,Swasta,Aktif,Kota Bandung,Prov. Jawa Barat,Baik,7,14.51 %,Rp1 - 8.800.000
Sekolah Tinggi Ilmu Ekonomi Ahmad Dahlan Jakarta,STIE Ahmad Dahlan,Swasta,Alih Bentuk,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Tidak Terakreditasi,5,,
Akademi Keuangan Dan Perbankan Padang,AKPP,Swasta,Aktif,Kota Padang,Prov. Sumatera Barat,Baik,1,80.52 %,Rp2.700.000 - 2.800.000
Akademi Minar Indonesia,AMI,Swasta,Aktif,Kab. Simalungun,Prov. Sumatera Utara,Terakreditasi Pertama,1,,
Akademi Teknik PIKA,Atek PIKA,Swasta,Aktif,Kota Semarang,Prov. Jawa Tengah,Terakreditasi,1,64.08 %,Rp1.000.000 - 8.200.000
Politeknik NSC Surabaya,PNS,Swasta,Aktif,Kota Surabaya,Prov. Jawa Timur,Tidak Terakreditasi,9,,Rp4.200.000 - 4.800.000
Institut Sains Dan Teknologi Indonesia Manokwari,ISTIM,Swasta,Alih Bentuk,Kab. Manokwari,Prov. Papua Barat,Tidak Terakreditasi,6,3.38 %,
Institut Kesenian Jakarta,IKJ,Swasta,Aktif,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,Terakreditasi,18,,Rp1.000.000 - 32.500.000
Sekolah Tinggi Ilmu Ekonomi Indonesia Malang,STIE Indonesia Malang,Swasta,Aktif,Kota Malang,Prov. Jawa Timur,Terakreditasi,5,,
Akademi Kebidanan Bhakti Nugraha,Akbid Bhakti Nugraha,Swasta,Alih Bentuk,Kab. Subang,Prov. Jawa Barat,Tidak Terakreditasi,1,77.85 %,
Akademi Pembangunan Pertanian Lubuk Alung,APPLA,Swasta,Tutup,Kota Padang,Prov. Sumatera Barat,Tidak Terakreditasi,1,50.78 %,
Sekolah Tinggi Bahasa Asing Satya Wacana,STBASW,Swasta,Alih Kelola,Kota Salatiga,Prov. Jawa Tengah,Tidak Terakreditasi,3,36.20 %,
"Universitas IPWIJA (Kota Jakarta Timur, D.K.I. Jakarta)",UI,Swasta,Alih Bentuk,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Tidak Terakreditasi,7,23.88 %,Rp2.400.000 - 6.000.000
Akademi Farmasi Cendikia Farma Husada,Akfar Cendikia Farma Husada,Swasta,Aktif,Kota Bandar Lampung,Prov. Lampung,Baik,1,47.00 %,Rp500.000 - 5.000.000
Politeknik Banyuwangi,PB,Swasta,Alih Bentuk,Kab. Banyuwangi,Prov. Jawa Timur,Tidak Terakreditasi,3,5.05 %,
Universitas Teknologi Nusantara,UTN,Swasta,Aktif,Kab. Bogor,Prov. Jawa Barat,Baik,8,21.18 %,Rp46.201 - 3.200.000
Institut Teknologi Sains Bandung,ITSB,Swasta,Aktif,Kab. Bekasi,Prov. Jawa Barat,Baik,18,36.26 %,Rp2.100.000 - 6.950.000
Sekolah Tinggi Ilmu Ekonomi Ichsan Pohuwato,STIE Ichsan Pohuwato,Swasta,Alih Bentuk,Kab. Pohuwato,Prov. Gorontalo,Tidak Terakreditasi,2,45.23 %,
Akademi Hiperkes Makassar,AHM,Swasta,Alih Bentuk,Kota Makassar,Prov. Sulawesi Selatan,Tidak Terakreditasi,1,62.05 %,
Akademi Farmasi Yannas Husada Bangkalan,Akfar Yannas Husada Bangkalan,Swasta,Aktif,Kab. Bangkalan,Prov. Jawa Timur,Tidak Terakreditasi,1,53.42 %,Rp3.000.000 - 5.500.000
AMIK Laksi-31,AMIK Laksi-31,Swasta,Aktif,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Tidak Terakreditasi,2,37.94 %,
"Universitas Tamansiswa (Kota Palembang, Sumatera Selatan)",UT,Swasta,Aktif,Kota Palembang,Prov. Sumatera Selatan,Terakreditasi,12,,Rp2.750.000 - 3.250.000
Politeknik Rukun Abdi Luhur,PRAL,Swasta,Aktif,Kab. Kudus,Prov. Jawa Tengah,Baik,4,26.79 %,Rp3.360.000 - 6.960.000
Akademi Kebidanan Haji Amirullah,Akbid Haji Amirullah,Swasta,Alih Bentuk,Kota Makassar,Prov. Sulawesi Selatan,Tidak Terakreditasi,1,66.41 %,
STIA Puangrimaggalatung,STIA Puangrimaggalatung,Swasta,Alih Bentuk,Kab. Wajo,Prov. Sulawesi Selatan,Tidak Terakreditasi,3,,
Universitas Katolik Soegijapranata,UKS,Swasta,Aktif,Kota Semarang,Prov. Jawa Tengah,Unggul,31,,Rp100.000 - 5.400.000
Akademi Kebidanan Betang Asi Raya,Akbid Betang Asi,Swasta,Aktif,Kota Palangka Raya,Prov. Kalimantan Tengah,Terakreditasi,1,73.31 %,Rp6.000.000 - 6.000.000
Sekolah Tinggi Ilmu Ekonomi Al-Washliyah,STIE Al-Washliyah,Swasta,Alih Bentuk,Kota Sibolga,Prov. Sumatera Utara,Baik,3,48.97 %,
Sekolah Tinggi Ilmu Pertanian,STIP,Swasta,Aktif,Kab. Jember,Prov. Jawa Timur,Baik,1,37.09 %,Rp2.400.000 - 23.000.000
STKIP Weetebula,STKIP Weetebula,Swasta,Alih Bentuk,Kab. Sumba Barat Daya,Prov. Nusa Tenggara Timur,Tidak Terakreditasi,7,30.88 %,
STKIP Al Amin Dompu,STKIP Al Amin Dompu,Swasta,Aktif,Kab. Dompu,Prov. Nusa Tenggara Barat,Terakreditasi,4,65.05 %,Rp1.200.000 - 2.400.000
Institut Teknologi Insan Cendekia Mandiri,ITICM,Swasta,Aktif,Kab. Sidoarjo,Prov. Jawa Timur,Baik,3,,Rp1.050.000 - 30.000.000
Akademi Statistika Muhammadiyah Semarang,ASMS,Swasta,Alih Bentuk,Kota Semarang,Prov. Jawa Tengah,Tidak Terakreditasi,1,78.99 %,
Akademi Kebidanan Keris Husada,Akbid Keris Husada,Swasta,Alih Bentuk,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik,1,89.15 %,Rp4.850.000 - 15.450.000
Politeknik Banggai Industri,PBI,Swasta,Aktif,Kab. Banggai,Prov. Sulawesi Tengah,Terakreditasi Sementara,3,,Rp5.413.000 - 6.225.000
Akademi Kebidanan Konawe,Akbid Konawe,Swasta,Aktif,Kab. Konawe,Prov. Sulawesi Tenggara,Baik,1,87.14 %,Rp3.000.000 - 3.000.000
AMIK Tri Dharma Pekanbaru,AMIK Tri Dharma Pekanbaru,Swasta,Alih Bentuk,Kota Pekanbaru,Prov. Riau,Tidak Terakreditasi,2,,
Politeknik Sakti Surabaya,PSS,Swasta,Tutup,Kota Surabaya,Prov. Jawa Timur,Tidak Terakreditasi,4,59.06 %,
Universitas Pasundan,Unpas,Swasta,Aktif,Kota Bandung,Prov. Jawa Barat,Unggul,51,,Rp150.000 - 2.512.500.000
Akademi Sekretari & Manajemen Dharma Budhi Bhakti,ASMDBB,Swasta,Aktif,Kota Jakarta Utara,Prov. D.K.I. Jakarta,Tidak Terakreditasi,2,,
Akademi Keperawatan YPPP Wonomulyo,Akper YPPP Wonomulyo,Swasta,Alih Bentuk,Kab. Polewali Mamasa,Prov. Sulawesi Barat,Tidak Terakreditasi,1,60.64 %,Rp2.400.000 - 2.400.000
Sekolah Tinggi Ilmu Ekonomi Pembangunan Indonesia,STIE Pembangunan Indonesia,Swasta,Alih Bentuk,Kota Makassar,Prov. Sulawesi Selatan,Tidak Terakreditasi,2,31.36 %,
Universitas Serambi Mekkah,USM,Swasta,Aktif,Kota Banda Aceh,Prov. Aceh,Baik Sekali,31,,Rp1.800.000 - 4.500.000
Politeknik Unggulan Cipta Mandiri,PUCM,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Baik,10,,Rp5.250.000 - 7.500.000
Akademi Kebidanan Paramata Raha,Akbid Paramata Raha,Swasta,Alih Bentuk,Kab. Muna,Prov. Sulawesi Tenggara,Baik,2,85.52 %,Rp2.400.000 - 2.400.000
Akademi Keperawatan Berkala Widya Husada,Akper Berkala Widya Husada,Swasta,Aktif,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik,1,65.99 %,Rp7.500.000 - 7.500.000
Sekolah Tinggi Ilmu Ekonomi Purna Graha,STIE Purna Graha,Swasta,Aktif,Kota Pekanbaru,Prov. Riau,Baik,2,,Rp2.500.000 - 2.500.000
Sekolah Tinggi Ilmu Ekonomi Dharma Bumi Putra,STIE Dharma Bumi Putra,Swasta,Aktif,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik,3,,Rp125.000 - 6.950.000
Sekolah Tinggi Ilmu Kesehatan Avicenna,STIKes Avicenna,Swasta,Aktif,Kota Kendari,Prov. Sulawesi Tenggara,Tidak Terakreditasi,7,,
Akademi Keperawatan Bina Husada Tebing Tinggi,Akper Bina Husada Tebing Tinggi,Swasta,Alih Kelola,Kota Tebing Tinggi,Prov. Sumatera Utara,Tidak Terakreditasi,1,,
Sekolah Tinggi Ilmu Hukum Damarica Palopo,STIH Damarica Palopo,Swasta,Alih Bentuk,Kota Palopo,Prov. Sulawesi Selatan,Tidak Terakreditasi,1,,
Universitas Bina Insani,UBI,Swasta,Aktif,Kota Bekasi,Prov. Jawa Barat,B,11,,Rp950.000 - 5.300.000
Akademi Digital Bandung,ADB,Swasta,Aktif,Kota Bandung,Prov. Jawa Barat,Terakreditasi Sementara,2,,
Akademi Kebidanan Aisyiyah Pontianak,Akbid Aisyiyah Pontianak,Swasta,Alih Bentuk,Kota Pontianak,Prov. Kalimantan Barat,Tidak Terakreditasi,1,,
STMIK Amikom,STMIK Amikom,Swasta,Alih Bentuk,Kab. Sleman,Prov. D.I. Yogyakarta,Tidak Terakreditasi,6,,
Akademi Komunikasi Yogyakarta,AKY,Swasta,Tutup,Kab. Sleman,Prov. D.I. Yogyakarta,Tidak Terakreditasi,1,,
Sekolah Tinggi Ilmu Kesehatan Sapta Bakti,STIKes Sapta Bakti,Swasta,Aktif,Kota Bengkulu,Prov. Bengkulu,Baik Sekali,6,,Rp7.000.000 - 7.000.000
Universitas Saintek Muhammadiyah,USM,Swasta,Aktif,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Baik,7,,Rp2.400.000 - 2.400.000
Universitas Bhakti Asih Tangerang,UBAT,Swasta,Aktif,Kota Tangerang,Prov. Banten,Terakreditasi,10,50.78 %,Rp9.000.000 - 9.000.000
Sekolah Tinggi Ilmu Kesehatan Akbidyo,STIKes Akbidyo,Swasta,Aktif,Kab. Bantul,Prov. D.I. Yogyakarta,Baik Sekali,5,36.20 %,Rp13.700.000 - 13.700.000
Universitas Dian Nuswantoro,Udinus,Swasta,Aktif,Kota Semarang,Prov. Jawa Tengah,Unggul,46,,Rp1.000 - 1.000
Akademi Pariwisata Paramitha Jakarta,APPJ,Swasta,Aktif,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Baik,1,47.00 %,
STIE Bali Internasional Institute of Tourism Management,STIE Bali Internasional Institute,Swasta,Alih Bentuk,Kota Denpasar,Prov. Bali,Tidak Terakreditasi,3,5.05 %,
STMIK Patria Wacana,STMIK Patria Wacana,Swasta,Tutup,Kab. Malang,Prov. Jawa Timur,Tidak Terakreditasi,3,,
Politeknik Sendawar,PS,Swasta,Aktif,Kab. Kutai Barat,Prov. Kalimantan Timur,Tidak Terakreditasi,3,,Rp3.500.000 - 5.000.003
STKIP La Tansa Mashiro,STKIP La Tansa Mashiro,Swasta,Alih Bentuk,Kab. Lebak,Prov. Banten,Tidak Terakreditasi,3,45.23 %,
STIKES Tuanku Tambusai,STIKES Tuanku Tambusai,Swasta,Alih Bentuk,Kab. Kampar,Prov. Riau,Tidak Terakreditasi,7,,
