Nama,Singkatan,Jenis,Status,Kabupaten,Provinsi,Akreditasi,Jumlah Prodi,Persentase Kelulusan,Rentang Biaya / Semester
Akademi Komunitas Negeri Putra Sang Fajar Blitar,Akom Negeri Putra Sang Fajar,Negeri,Aktif,Kota Blitar,Prov. Jawa Timur,Baik,4,62.44 %,Rp115.000 - 1.500.000
Universitas Timor,Unimor,Negeri,Aktif,Kab. Timor Tengah Utara,Prov. Nusa Tenggara Timur,Baik Sekali,19,,Rp10 - 3.500.000
Universitas Maritim Raja Ali Haji (UMRAH),UMRAH,Negeri,Aktif,Kota Tanjungpinang,Prov. Kepulauan Riau,Baik Sekali,40,,Rp500.000 - 500.000
Politeknik Pertanian Negeri Pangkajene Kepulauan,PPNPK,Negeri,Aktif,Kab. Pangkajene Kepulauan,Prov. Sulawesi Selatan,Baik Sekali,29,,Rp500.000 - 2.750.000
Universitas Riau,Unri / UR,Negeri,Aktif,Kota Pekanbaru,Prov. Riau,Unggul,137,,Rp500.000 - 23.400.000
Universitas Halu Oleo,UHO,Negeri,Aktif,Kota Kendari,Prov. Sulawesi Tenggara,Unggul,128,,Rp60.101 - 4.500.000
Universitas Mulawarman,Unmul,Negeri,Aktif,Kota Samarinda,Prov. Kalimantan Timur,Unggul,139,,Rp1 - 1
Institut Seni Indonesia Denpasar,ISI Denpasar,Negeri,Alih Bentuk,Kota Denpasar,Prov. Bali,Unggul,21,,Rp500.000 - 20.000.000
Akademi Komunitas Negeri Pacitan,Akom Negeri Pacitan,Negeri,Aktif,Kab. Pacitan,Prov. Jawa Timur,Baik,3,,Rp500.000 - 2.400.000
Universitas Singaperbangsa Karawang,Unsika,Negeri,Aktif,Kab. Karawang,Prov. Jawa Barat,B,50,,Rp250.000 - 13.300.000
Politeknik Negeri Nusa Utara,PNNU,Negeri,Aktif,Kab. Kep. Sangihe,Prov. Sulawesi Utara,Terakreditasi,8,,Rp1.500.000 - 4.000.000
Politeknik Negeri Banjarmasin,Poliban,Negeri,Aktif,Kota Banjarmasin,Prov. Kalimantan Selatan,Baik Sekali,28,,Rp450.000 - 6.400.000
Universitas Tidar,Untidar,Negeri,Aktif,Kota Magelang,Prov. Jawa Tengah,B,35,,Rp250.000 - 9.000.000
Sekolah Tinggi Seni Indonesia Padang Panjang,STSIPP,Negeri,Alih Bentuk,Kota Padang Panjang,Prov. Sumatera Barat,Tidak Terakreditasi,8,,
Universitas Negeri Jakarta,UNJ,Negeri,Aktif,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Unggul,182,,Rp50.000 - 50.530.500
Universitas Negeri Semarang,Unnes,Negeri,Aktif,Kota Semarang,Prov. Jawa Tengah,Unggul,143,,Rp50.000 - 150.000.000
Politeknik Negeri Pontianak,Polnep,Negeri,Aktif,Kota Pontianak,Prov. Kalimantan Barat,B,43,,Rp500.000 - 5.625.000
Universitas Bengkulu,Unib,Negeri,Aktif,Kota Bengkulu,Prov. Bengkulu,Unggul,109,,Rp2.975 - 45.420.000
Institut Seni Indonesia Surakarta,ISI Surakarta,Negeri,Aktif,Kota Surakarta,Prov. Jawa Tengah,Terakreditasi,33,,Rp500.000 - 15.000.000
Politeknik Negeri Samarinda,Polnes,Negeri,Aktif,Kota Samarinda,Prov. Kalimantan Timur,Baik Sekali,47,,
Universitas Sembilanbelas November Kolaka,USNK,Negeri,Aktif,Kab. Kolaka,Prov. Sulawesi Tenggara,Baik Sekali,31,,Rp1.800.000 - 3.000.000
Universitas Pendidikan Ganesha,Undiksha,Negeri,Aktif,Kab. Buleleng,Prov. Bali,Unggul,98,,Rp250.000 - 21.389.000
Politeknik Negeri Nunukan,PNN,Negeri,Aktif,Kab. Nunukan,Prov. Kalimantan Utara,Baik,5,,Rp1.500.000 - 2.500.000
Akademi Keperawatan Binalita Sudama,Akper Binalita Sudama,Swasta,Alih Bentuk,Kab. Deli Serdang,Prov. Sumatera Utara,Tidak Terakreditasi,1,89.30 %,
Akademi Kebidanan Dayang Suri,Akbid Dayang Suri,Swasta,Alih Kelola,Tidak Diisi,Prov. Riau,Tidak Terakreditasi,1,43.94 %,
Sekolah Tinggi Ilmu Administrasi Aan,STIA Aan,Swasta,Aktif,Kota Yogyakarta,Prov. D.I. Yogyakarta,Baik Sekali,4,60.36 %,Rp980.000 - 16.025.000
Akademi Farmasi Yayasan Tenaga Pembangunan Arjuna Laguboti,Akfar Yayasan Tenaga Pembangunan Arjuna,Swasta,Alih Bentuk,Kab. Toba Samosir,Prov. Sumatera Utara,Tidak Terakreditasi,1,60.92 %,
Akademi Teknologi Bank Darah Surakarta,ATBDS,Swasta,Alih Bentuk,Kota Surakarta,Prov. Jawa Tengah,Tidak Terakreditasi,1,12.89 %,
Akademi Kebidanan Eunice Rajawali Binjai,Akbid Eunice Rajawali Binjai,Swasta,Tutup,Kota Binjai,Prov. Sumatera Utara,Tidak Terakreditasi,1,,
Sekolah Tinggi Desain Interstudi,STDI,Swasta,Aktif,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik,4,54.75 %,Rp9.000.000 - 9.900.000
Universitas Komputer Indonesia,Unikom,Swasta,Aktif,Kota Bandung,Prov. Jawa Barat,Unggul,37,,Rp450.000 - 17.585.000
Akademi Kebidanan Madina Husada,Akbid Madina Husada,Swasta,Aktif,Kab. Mandailing Natal,Prov. Sumatera Utara,Baik,1,,Rp1.500.000 - 5.500.000
"Sekolah Tinggi Teknologi ""Warga"" Surakarta",STT Warga Surakarta,Swasta,Aktif,Kab. Sukoharjo,Prov. Jawa Tengah,Baik,5,57.19 %,Rp4.750.000 - 23.725.000
Universitas Muhammadiyah Bekasi Karawang,UMBK,Swasta,Aktif,Kota Bekasi,Prov. Jawa Barat,Tidak Terakreditasi,8,0.81 %,
Universitas Muhammadiyah Jakarta,UMJ,Swasta,Aktif,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,Unggul,75,,Rp11.201 - 24.500.000
Institut Maritim Prasetiya Mandiri,IMPM,Swasta,Aktif,Kota Bandar Lampung,Prov. Lampung,Tidak Terakreditasi,7,40.71 %,Rp3.000.000 - 6.000.000
Sekolah Tinggi Ilmu Manajemen Indonesia YAPMI,STIMIY,Swasta,Aktif,Kota Makassar,Prov. Sulawesi Selatan,Baik Sekali,1,,
Sekolah Tinggi Ilmu Ekonomi Balikpapan,STIE Balikpapan,Swasta,Aktif,Kota Balikpapan,Prov. Kalimantan Timur,Terakreditasi,4,49.69 %,Rp1.125.000 - 7.800.000
Akademi Teknologi Bogor,ATB,Swasta,Aktif,Kota Bogor,Prov. Jawa Barat,Baik,2,,Rp4.000.000 - 4.000.000
Sekolah Tinggi Manajemen Informatika dan Komputer Ichsan Gorontalo,STMIK Ichsan,Swasta,Alih Bentuk,Kota Gorontalo,Prov. Gorontalo,Baik,5,,
Sekolah Tinggi Teknologi Payakumbuh,STT Payakumbuh,Swasta,Aktif,Kota Payakumbuh,Prov. Sumatera Barat,Baik,3,51.09 %,
IKIP Saraswati,IKIP Saraswati,Swasta,Aktif,Kab. Tabanan,Prov. Bali,Terakreditasi,7,,Rp3.190.000 - 3.190.000
Universitas Annuqayah,UA,Swasta,Aktif,Kab. Sumenep,Prov. Jawa Timur,Baik,23,,Rp950.000 - 6.500.000
Akademi Keperawatan Krida Husada,Akper Krida Husada,Swasta,Alih Bentuk,Kab. Kudus,Prov. Jawa Tengah,Tidak Terakreditasi,1,,
Akademi Kesehatan Gigi Kendari,Akkes Gigi Kendari,Swasta,Alih Bentuk,Kota Kendari,Prov. Sulawesi Tenggara,Tidak Terakreditasi,1,,
Institut Bisnis dan Teknologi Kalimantan,IBTK,Swasta,Aktif,Kota Banjarmasin,Prov. Kalimantan Selatan,Baik Sekali,5,22.98 %,
Universitas Prasetiya Mulya,Prasmul,Swasta,Aktif,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik Sekali,13,,Rp1.000.000 - 50.000.000
Universitas Muhammadiyah Tasikmalaya,UMT,Swasta,Aktif,Kota Tasikmalaya,Prov. Jawa Barat,Terakreditasi,20,,Rp100.000 - 17.350.000
Institut Manajemen Wiyata Indonesia,IMWI,Swasta,Alih Bentuk,Kota Sukabumi,Prov. Jawa Barat,Tidak Terakreditasi,6,,
Akademi Sekretari Manajemen Tanah Rencong,ASMTR,Swasta,Tutup,Kota Lhokseumawe,Prov. Aceh,Tidak Terakreditasi,1,,
Akademi Keperawatan Muhammadiyah Makassar,Akper Muhammadiyah Makassar,Swasta,Alih Bentuk,Kota Makassar,Prov. Sulawesi Selatan,Tidak Terakreditasi,1,,
Sekolah Tinggi Ilmu Kesehatan Bantul,STIKes Bantul,Swasta,Aktif,Kab. Bantul,Prov. D.I. Yogyakarta,Baik,4,,Rp800.000 - 8.000.000
Sekolah Tinggi Ilmu Kesehatan Hakli,STIKes Hakli,Swasta,Aktif,Kota Semarang,Prov. Jawa Tengah,Baik,7,,Rp4.800.000 - 4.800.000
Sekolah Tinggi Ilmu Kesehatan Notokusumo Yogyakarta,STIKes Notokusumo,Swasta,Aktif,Kota Yogyakarta,Prov. D.I. Yogyakarta,Baik Sekali,4,,Rp500.000 - 7.450.000
Politeknik Prasetiya Mandiri,PPM,Swasta,Aktif,Kota Bogor,Prov. Jawa Barat,Baik,13,,Rp4.000.000 - 5.000.000
Sekolah Tinggi Ilmu Kesehatan Aisyiyah Yogyakarta,STIKes Aisyiyah,Swasta,Alih Bentuk,Kab. Sleman,Prov. D.I. Yogyakarta,Tidak Terakreditasi,6,,
Akademi Kesejahteraan Sosial Tarakanita,AKST,Swasta,Tutup,Tidak Diisi,Prov. D.I. Yogyakarta,Tidak Terakreditasi,2,60.26 %,
STMIK Primakara,STMIK Primakara,Swasta,Alih Bentuk,Kota Denpasar,Prov. Bali,Baik,4,,
Akademi Farmasi 17 Agustus 1945 Semarang,Akfar 17 Agustus 1945 Semarang,Swasta,Alih Bentuk,Kota Semarang,Prov. Jawa Tengah,Baik,1,,Rp3.750.000 - 30.750.000
Sekolah Tinggi Ilmu Administrasi Said Perintah,STIA Said Perintah,Swasta,Alih Bentuk,Kab. Maluku Tengah,Prov. Maluku,Tidak Terakreditasi,2,50.86 %,
STKIP Suluh Bangsa,STKIP Suluh Bangsa,Swasta,Tutup,Kota tangerang Selatan,Prov. Banten,Tidak Terakreditasi,1,17.02 %,
Institut Citra Internasional,ICI,Swasta,Aktif,Kota Pangkalpinang,Prov. Bangka Belitung,Baik,7,45.83 %,Rp2.400.000 - 17.950.000
Akademi Bahasa Asing St Pignatelli,ABASP,Swasta,Alih Bentuk,Kota Surakarta,Prov. Jawa Tengah,Tidak Terakreditasi,1,,
Sekolah Tinggi Teknik Iskandar Thani,STTIT,Swasta,Aktif,Kota Banda Aceh,Prov. Aceh,Baik,3,39.66 %,Rp2.400.000 - 30.000.000
Akademi Kebidanan Imelda,Akbid Imelda,Swasta,Alih Bentuk,Kota Medan,Prov. Sumatera Utara,Tidak Terakreditasi,1,71.57 %,
Universitas Doktor Husni Ingratubun Papua,UDHIP,Swasta,Aktif,Kota Jayapura,Prov. Papua,B,9,,Rp3.000.000 - 3.000.000
Akademi Kebidanan Namira Madina Panyabungan,Akbid Namira Madina Panyabungan,Swasta,Alih Bentuk,Kab. Mandailing Natal,Prov. Sumatera Utara,Tidak Terakreditasi,1,80.07 %,
Sekolah Tinggi Ilmu Kesehatan Alma Ata Yogyakarta,STIKes Alma Ata,Swasta,Alih Bentuk,Kab. Bantul,Prov. D.I. Yogyakarta,Tidak Terakreditasi,4,46.13 %,
Universitas Pamulang,UP,Swasta,Aktif,Kota tangerang Selatan,Prov. Banten,Baik Sekali,43,,Rp2.400.000 - 4.900.000
Akd Teknik Radiodiag. Dan Radioterapi Widya Dharma,ATRRWD,Swasta,Alih Bentuk,Kota Palembang,Prov. Sumatera Selatan,Tidak Terakreditasi,1,,
Universitas Werisar,UW,Swasta,Aktif,Kab. Sorong Selatan,Prov. Papua Barat,Baik,5,,Rp2.600.000 - 2.600.000
Akademi Kebidanan Karsa Mulia,Akbid Karsa Mulia,Swasta,Tutup,Kota Semarang,Prov. Jawa Tengah,Tidak Terakreditasi,1,89.30 %,
Universitas Indonesia Membangun,UIM,Swasta,Aktif,Kota Bandung,Prov. Jawa Barat,B,10,43.94 %,Rp50.000 - 11.150.000
Akademi Informatika Dan Komputer Medicom,AIKM,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Baik,3,60.36 %,Rp6.500.000 - 8.000.000
Politeknik Adiguna Maritim Indonesia Medan,PAMIM,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Baik Sekali,3,60.92 %,
Politeknik Orang Tua,POT,Swasta,Tutup,Kota Jakarta Barat,Prov. D.K.I. Jakarta,Tidak Terakreditasi,3,12.89 %,
Politeknik Praktisi Bandung,PPB,Swasta,Aktif,Kota Bandung,Prov. Jawa Barat,Tidak Terakreditasi,3,,Rp1.200.000 - 7.200.000
Akademi Keperawatan Yapenas 21 Maros,Akper Yapenas 21 Maros,Swasta,Aktif,Kab. Maros,Prov. Sulawesi Selatan,Baik,1,54.75 %,Rp2.750.000 - 2.750.000
Sekolah Tinggi Pertanian Gunung Leuser,STPGL,Swasta,Tutup,Kab. Aceh Tenggara,Prov. Aceh,Tidak Terakreditasi,1,55.37 %,
Institut Bisnis Dan Informatika Kesatuan,IBIK,Swasta,Aktif,Kota Bogor,Prov. Jawa Barat,B,14,85.96 %,
Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Bekasi,STISIPB,Swasta,Tutup,Kota Bekasi,Prov. Jawa Barat,Tidak Terakreditasi,2,57.19 %,
Akademi Keperawatan Samawa,Akper Samawa,Swasta,Alih Bentuk,Kab. Sumbawa,Prov. Nusa Tenggara Barat,Tidak Terakreditasi,1,0.81 %,
Sekolah Tinggi Ilmu Kesehatan Husada Gemilang,STIKes Husada Gemilang,Swasta,Aktif,Kab. Indragiri Hilir,Prov. Riau,Baik,2,,Rp4.500.000 - 5.400.000
Sekolah Tinggi Ilmu Kesehatan Ibnu Sina Batam,STIKes Ibnu Sina Batam,Swasta,Alih Bentuk,Kota Batam,Prov. Kepulauan Riau,Tidak Terakreditasi,2,40.71 %,
Sekolah Tinggi Ilmu Kesehatan St. Elisabeth Keuskupan Maumere,STIKes St Elisabeth Keuskupan Maumere,Swasta,Aktif,Kab. Sikka,Prov. Nusa Tenggara Timur,Baik Sekali,3,46.02 %,
Universitas Halmahera,UH,Swasta,Aktif,Kab. halmahera Utara,Prov. Maluku Utara,Tidak Terakreditasi,19,49.69 %,Rp960.000 - 14.300.000
Akademi Pelayaran Niaga Indonesia Semarang,APNIS,Swasta,Alih Bentuk,Kota Semarang,Prov. Jawa Tengah,Tidak Terakreditasi,3,51.80 %,
AMIK Veteran Purwokerto,AMIK Veteran Purwokerto,Swasta,Alih Bentuk,Kab. Banyumas,Prov. Jawa Tengah,Tidak Terakreditasi,2,49.55 %,
Akademi Keuangan Perbankan Nusantara,AKPN,Swasta,Aktif,Kab. Aceh Timur,Prov. Aceh,Baik,1,51.09 %,Rp1.000.000 - 2.400.000
Sekolah Tinggi Pariwisata Pelita Harapan,STP Pelita Harapan,Swasta,Alih Bentuk,Kota Tangerang,Prov. Banten,Tidak Terakreditasi,5,85.62 %,
Institut Teknologi Harapan Bangsa,ITHB,Swasta,Aktif,Kota Bandung,Prov. Jawa Barat,Baik Sekali,8,8.87 %,Rp1.450.000 - 16.950.000
Politeknik Mitra Kusuma,PMK,Swasta,Tutup,Kota Bekasi,Prov. Jawa Barat,Tidak Terakreditasi,3,76.59 %,
Politeknik Stibisnis,PS,Swasta,Aktif,Kota Tegal,Prov. Jawa Tengah,Terakreditasi,5,53.81 %,
Akademi Akuntansi Bima Sakapenta,AABS,Swasta,Alih Bentuk,Kota Tegal,Prov. Jawa Tengah,Baik,1,22.98 %,Rp2.450 - 2.450.000
Sekolah Tinggi Ilmu Ekonomi Cipasung,STIE Cipasung,Swasta,Alih Bentuk,Kab. Tasikmalaya,Prov. Jawa Barat,Tidak Terakreditasi,2,61.39 %,
Sekolah Tinggi Ilmu Kesehatan Budi Mulia Sriwijaya,STIKes Budi Mulia Sriwijaya,Swasta,Aktif,Kota Palembang,Prov. Sumatera Selatan,Terakreditasi,5,,Rp4.000.000 - 37.600.000
Universitas Muhammadiyah Bandung,UMB,Swasta,Aktif,Kota Bandung,Prov. Jawa Barat,Baik Sekali,20,16.73 %,
Sekolah Tinggi Ilmu Hukum Caritas Papua,STIH Caritas,Swasta,Alih Bentuk,Kab. Manokwari,Prov. Papua Barat,Tidak Terakreditasi,1,45.74 %,Rp3.500.000 - 3.500.000
Akademi Pertanian Muhammadiyah Pemalang,APMP,Swasta,Tutup,Kab. Pemalang,Prov. Jawa Tengah,Tidak Terakreditasi,1,,
Politeknik Kesehatan Bhakti Pertiwi Husada,Poltekkes Bhakti Pertiwi Husada,Swasta,Aktif,Kota Cirebon,Prov. Jawa Barat,Baik,8,38.80 %,
Akademi Keperawatan Putra Pertiwi,Akper Putra Pertiwi,Swasta,Alih Kelola,Kab. Mamuju,Prov. Sulawesi Barat,Tidak Terakreditasi,1,59.66 %,
Akademi Komunikasi Radya Binatama,AKRB,Swasta,Aktif,Kab. Sleman,Prov. D.I. Yogyakarta,Baik,1,,Rp4.000.000 - 4.000.000
Universitas Jakarta Internasional,UJI,Swasta,Aktif,Kota Jakarta Barat,Prov. D.K.I. Jakarta,Baik Sekali,8,35.03 %,
Akademi Kebidanan Aisyah Kabupaten Pangkep,Akbid Aisyah Kabupaten Pangkep,Swasta,Aktif,Kab. Pangkajene Kepulauan,Prov. Sulawesi Selatan,Baik,1,60.90 %,Rp1.900.000 - 1.900.000
Sekolah Tinggi Filsafat Theologia Surya Nusantara,STF Theologia Surya Nusantara,Swasta,Alih Bentuk,Kota Pematang Siantar,Prov. Sumatera Utara,Baik,2,60.26 %,Rp6.800.000 - 6.800.000
STIKES Sari Mulia,STIKES Sari Mulia,Swasta,Alih Bentuk,Kota Banjarmasin,Prov. Kalimantan Selatan,Tidak Terakreditasi,4,27.90 %,
Universitas Kristen Papua,UKP,Swasta,Aktif,Kota Sorong,Prov. Papua Barat,Baik,15,81.20 %,Rp125.000 - 5.500.000
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Surya Kasih,STKIP Surya Kasih,Swasta,Aktif,Kab. Timor Tengah Utara,Prov. Nusa Tenggara Timur,Baik,1,50.86 %,Rp2.400.000 - 2.400.000
Universitas Sari Mulia,USM,Swasta,Aktif,Kota Banjarmasin,Prov. Kalimantan Selatan,Terakreditasi,19,17.02 %,Rp850.000 - 41.000.000
Sekolah Tinggi Teknologi Pekanbaru,STT Pekanbaru,Swasta,Aktif,Kota Pekanbaru,Prov. Riau,Terakreditasi,7,45.83 %,Rp2.500.000 - 3.500.000
Politeknik Bisnis Lamda,PBL,Swasta,Tutup,Kota Samarinda,Prov. Kalimantan Timur,Tidak Terakreditasi,4,71.08 %,
Akademi Kebidanan Tunas Harapan Bangsa,Akbid Tunas Harapan Bangsa,Swasta,Alih Bentuk,Kota Palembang,Prov. Sumatera Selatan,Tidak Terakreditasi,1,39.66 %,
Universitas Megarezky,UM,Swasta,Aktif,Kota Makassar,Prov. Sulawesi Selatan,Baik Sekali,35,,Rp100.000 - 33.500.000
Universitas Bung Karno,UBK,Swasta,Aktif,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,Baik Sekali,16,19.02 %,
Politeknik Lingga,PL,Swasta,Aktif,Kab. Lingga,Prov. Kepulauan Riau,Baik,3,80.07 %,Rp2.400.000 - 2.400.000
Universitas Yayasan Pendidikan Imam Bonjol Majalengka,UYPIBM,Swasta,Aktif,Kab. Majalengka,Prov. Jawa Barat,Terakreditasi,11,,Rp2.500.000 - 6.600.000
STIKES Darmais Padangsidimpuan,STIKES Darmais Padangsidimpuan,Swasta,Aktif,Kota Padang Sidempuan,Prov. Sumatera Utara,Baik,3,,Rp3.000.000 - 3.000.000
Sekolah Tinggi Ilmu Administrasi Amuntai,STIA Amuntai,Swasta,Aktif,Kab. Hulu Sungai Utara,Prov. Kalimantan Selatan,Baik Sekali,4,89.19 %,Rp1.800.000 - 3.930.000
Sekolah Tinggi Ilmu Ekonomi Pemnas Indonesia,STIE Pemnas Indonesia,Swasta,Aktif,Kota Malang,Prov. Jawa Timur,Terakreditasi,2,,Rp2.500.000 - 5.000.000
